kind,key,name,team,fotmob_id,file,status
logo,esp,,Spain,,outputs/assets/logos/esp.png,ok
logo,sui,,Switzerland,,outputs/assets/logos/sui.png,ok
logo,wal,,Wales,,outputs/assets/logos/wal.png,ok
logo,cmr,,Cameroon,,outputs/assets/logos/cmr.png,ok
logo,gha,,Ghana,,outputs/assets/logos/gha.png,ok
logo,mar,,Morocco,,outputs/assets/logos/mar.png,ok
logo,sen,,Senegal,,outputs/assets/logos/sen.png,ok
logo,tun,,Tunisia,,outputs/assets/logos/tun.png,ok
logo,jpn,,Japan,,outputs/assets/logos/jpn.png,ok
logo,kor,,South Korea,,outputs/assets/logos/kor.png,ok
logo,irn,,Iran,,outputs/assets/logos/irn.png,ok
logo,qat,,Qatar,,outputs/assets/logos/qat.png,ok
logo,ksa,,Saudi Arabia,,outputs/assets/logos/ksa.png,ok
logo,can,,Canada,,outputs/assets/logos/can.png,ok
logo,mex,,Mexico,,outputs/assets/logos/mex.png,ok
logo,usa,,United States,,outputs/assets/logos/usa.png,ok
logo,crc,,Costa Rica,,outputs/assets/logos/crc.png,ok
logo,aus,,Australia,,outputs/assets/logos/aus.png,ok
